City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
28,28,Zhenjiang,CN,32.2092,119.4342,65.8,83,17,1.01,few clouds
51,51,Albany,US,42.6001,-73.9662,67.35,39,100,1.01,overcast clouds
62,62,Casper,US,42.8666,-106.3131,69.73,35,0,17.27,clear sky
68,68,Acurenam,GQ,1.0322,10.6488,69.33,99,100,1.19,moderate rain
94,94,Paraiba Do Sul,BR,-22.1619,-43.2928,68.92,82,5,3.11,clear sky
108,108,Duluth,US,46.7833,-92.1066,65.07,49,0,11.5,clear sky
120,120,Ouesso,CG,1.6136,16.0517,69.69,99,100,1.72,light rain
122,122,Weiser,US,44.251,-116.9693,70.0,49,100,11.01,light rain
132,132,Pokhara,NP,28.2333,83.9833,67.01,86,82,3.62,broken clouds
133,133,Black Forest,US,39.0131,-104.7008,65.34,33,0,14.0,clear sky
142,142,Texarkana,US,33.4251,-94.0477,68.23,91,40,18.01,scattered clouds
143,143,Tura,IN,25.5198,90.2201,68.59,91,2,3.71,clear sky
156,156,Faya,SA,18.3851,42.4509,68.11,38,53,3.2,broken clouds
162,162,Shahrud,IR,36.4182,54.9763,65.52,45,100,5.19,overcast clouds
185,185,Pisco,PE,-13.7,-76.2167,68.05,77,0,19.57,clear sky
186,186,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,81,100,13.82,overcast clouds
190,190,Hasaki,JP,35.7333,140.8333,66.29,72,100,9.26,overcast clouds
192,192,San Quintin,MX,30.4833,-115.95,67.89,68,1,15.48,clear sky
200,200,Nouakchott,MR,18.0858,-15.9785,69.73,67,0,15.5,clear sky
205,205,Chimbote,PE,-9.0853,-78.5783,66.76,83,28,8.3,scattered clouds
227,227,Huarmey,PE,-10.0681,-78.1522,69.21,79,54,9.75,broken clouds
233,233,Fukue,JP,32.6881,128.8419,65.25,86,79,13.85,broken clouds
243,243,Naze,JP,28.3667,129.4833,67.12,93,100,7.09,overcast clouds
255,255,Broome,US,42.2506,-75.833,65.17,35,0,5.75,clear sky
259,259,Sikonge,TZ,-5.6333,32.7667,65.7,71,77,6.29,broken clouds
263,263,Brainerd,US,46.358,-94.2008,66.49,30,0,4.61,clear sky
266,266,Tabora,TZ,-5.0167,32.8,69.01,63,97,6.93,overcast clouds
286,286,Camana,PE,-16.6228,-72.7111,69.26,80,10,7.83,clear sky
293,293,Qom,IR,34.6401,50.8764,67.1,53,46,4.34,scattered clouds
301,301,Tezu,IN,27.9167,96.1667,69.13,78,6,4.27,clear sky
302,302,Palmer,US,42.1584,-72.3287,69.66,28,75,3.0,broken clouds
310,310,Athabasca,CA,54.7169,-113.2854,68.41,45,100,11.9,overcast clouds
323,323,Rabo De Peixe,PT,37.8,-25.5833,66.27,70,40,14.97,scattered clouds
338,338,Kathmandu,NP,27.7167,85.3167,66.42,88,75,2.3,broken clouds
368,368,Inhambane,MZ,-23.865,35.3833,68.7,91,1,5.82,clear sky
379,379,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,0,13.8,clear sky
385,385,Lanzhou,CN,36.0564,103.7922,65.12,39,14,3.85,few clouds
387,387,Rongcheng,CN,30.634,117.8517,66.78,68,0,3.33,clear sky
393,393,Katsuura,JP,35.1333,140.3,66.34,70,100,7.76,overcast clouds
402,402,Changde,CN,29.0464,111.6783,69.06,72,82,4.61,broken clouds
407,407,Arrecife,ES,28.963,-13.5477,66.18,77,20,16.11,few clouds
408,408,Polson,US,47.6936,-114.1632,65.21,45,100,0.6,overcast clouds
415,415,Eldorado,BR,-23.7869,-54.2836,66.07,77,89,2.86,overcast clouds
418,418,Byron Bay,AU,-28.65,153.6167,69.94,88,100,8.68,overcast clouds
